restaurant;online_order;book_table;rate;votes;phone;location;rest_type;dish_liked;cuisines;address;approx_cost;listed_in_type
"The Coffee Shack";Yes;Yes;4.2;164;"+91 9731644212";Banashankari;Cafe;"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread";"Cafe, Chinese, Continental, Italian";"6th Block, 3rd Stage, Banashankari, Bangalore";500;Cafes
Caf-Eleven;No;No;4;424;"080 49577715";Banashankari;Cafe;"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino";"Cafe, Continental";"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore";450;Cafes
"San Churro Cafe";Yes;No;3.8;918;"+91 9663487993";Banashankari;"Cafe, Casual Dining";"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza";"Cafe, Mexican, Italian";"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore";800;Cafes
"Cafe Vivacity";Yes;No;3.8;90;"080 26768182
+91 9845704455";Banashankari;Cafe;"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges";Cafe;"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore";650;Cafes
Catch-up-ino;Yes;No;3.9;133;"+91 9972988038
+91 9900121238";Banashankari;Cafe;"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi";"Cafe, Fast Food, Continental, Chinese, Momos";"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore";800;Cafes
"Kirthi's Biryani";Yes;No;3.8;144;"080 26711554
+91 9741406338";Banashankari;Cafe;"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails";"Chinese, Cafe, Italian";"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore";700;Cafes
"T3H Cafe";No;No;3.9;93;"+91 8884726600";Banashankari;Cafe;"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata";"Cafe, Italian, American";"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore";300;Cafes
"360 Atoms Restaurant And Cafe";Yes;No;3.1;13;"+91 9880594520";Banashankari;Cafe;NULL;"Cafe, Chinese, Continental, Italian";"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore";400;Cafes
"The Vintage Cafe";Yes;No;3;62;"+91 9880016665
+91 8217311687";Banashankari;Cafe;"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea";"Cafe, French, North Indian";"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore";400;Cafes
"Woodee Pizza";Yes;No;3.7;180;"+91 7406822844";Banashankari;Cafe;"Pizza, Garlic Bread";"Cafe, Pizza, Fast Food, Beverages";"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore";500;Cafes
"Cafe Coffee Day";No;No;3.6;28;"080 32486296";Banashankari;Cafe;NULL;"Cafe, Fast Food";"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore";900;Cafes
"My Tea House";Yes;No;3.6;62;"080 65975430
+91 7337733798";Banashankari;"Quick Bites, Cafe";"Pasta, Iced Tea";"Italian, Fast Food, Cafe, European";"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore";600;Cafes
"Hide Out Cafe";No;No;3.7;31;"+91 9901481185";Banashankari;Cafe;NULL;Cafe;"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore";300;Cafes
"CAFE NOVA";No;No;3.2;11;"+91 8971090261";Banashankari;Cafe;NULL;"Cafe, Bakery";"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore";600;Cafes
"Coffee Tindi";Yes;No;3.8;75;"+91 9945758046";Banashankari;"Cafe, Quick Bites";NULL;"Cafe, South Indian";"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore";200;Cafes
"Sea Green Cafe";No;No;3.3;4;"+91 9008628448";Banashankari;Cafe;NULL;"Cafe, Fast Food, Beverages";"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore";500;Cafes
Cuppa;No;No;3.3;23;"+91 9591111123";Banashankari;Cafe;NULL;"Cafe, Fast Food";"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore";550;Cafes
"Srinathji's Cafe";No;No;3.8;148;"080 26600704
+91 9342593424";Basavanagudi;"Casual Dining, Cafe";"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda";"North Indian, Cafe, Chinese, Fast Food";"112, Bull Temple Road,next to more Basavanagudi, Bangalore";550;Cafes
Redberrys;Yes;No;4;219;"+91 9148421256";Basavanagudi;Cafe;"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam";"Cafe, Italian";"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore";600;Cafes
Foodiction;Yes;No;2.8;506;"+91 9916107070";Banashankari;"Quick Bites";"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani";"North Indian, Fast Food, Chinese, Burger";"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore";500;Delivery
"Sweet Truth";Yes;No;3.9;35;"+91 7710055553";Banashankari;Delivery;NULL;"Bakery, Desserts";"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore";500;Delivery
"Ovenstory Pizza";Yes;No;3.9;172;"+91 7738383000";Banashankari;Delivery;"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza";Pizza;"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore";750;Delivery
Faasos;Yes;No;4.2;415;"+91 7700020020";Banashankari;"Quick Bites";"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap";"North Indian, Biryani, Fast Food";"80, BDA Complex, 2nd Stage, Banashankari, Bangalore";500;Delivery
"Behrouz Biryani";Yes;No;3.9;230;"+91 7022260661
+91 7022260662";Banashankari;Delivery;"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani";Biryani;"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore";650;Delivery
"Fast And Fresh";Yes;No;2.8;91;"+91 9742974232";Banashankari;"Quick Bites";NULL;"North Indian, Chinese, Fast Food";"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore";400;Delivery
"Szechuan Dragon";Yes;No;4.2;1647;"00 919663567711
+91 9916326323";Banashankari;"Casual Dining";"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken";"Chinese, Thai, Momos";"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore";600;Delivery
"Empire Restaurant";Yes;No;4.4;4884;"080 49653266";Jayanagar;"Casual Dining";"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice";"North Indian, Mughlai, South Indian, Chinese";"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore";750;Delivery
"Maruthi Davangere Benne Dosa";Yes;No;4;17;"+91 9019563485";Banashankari;"Quick Bites";NULL;"South Indian";"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore";150;Delivery
Chaatimes;Yes;No;3.8;133;"+91 8884232233";Basavanagudi;"Quick Bites";"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri";"Street Food, Fast Food";"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore";200;Delivery
"Havyaka Mess";No;No;3.9;28;"+91 9243195843
+91 9243404670";Banashankari;Mess;NULL;"South Indian";"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore";300;Delivery
McDonald's;Yes;No;3.9;286;"080 66000666
080 42005285";Banashankari;"Quick Bites";"Burgers, Fries, Hot Chocolate";"Burger, Fast Food";"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore";500;Delivery
"Domino's Pizza";Yes;No;3.9;540;"080 26710070
18602100000";Banashankari;"Quick Bites";"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos";"Pizza, Fast Food";"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore";800;Delivery
Onesta;Yes;Yes;4.6;2556;"080 48653961
080 48655715";Banashankari;"Casual Dining, Cafe";"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza";"Pizza, Cafe, Italian";"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore";600;Delivery
Hotboxit;No;No;3.8;36;"+91 7026677677
+91 7026577577";Banashankari;Delivery;"Prompt Service";"North Indian, Continental, Italian";"2nd Stage, Banashankari, Bangalore";400;Delivery
"Kitchen Garden";Yes;No;3.6;244;"080 49652867";"Kumaraswamy Layout";"Quick Bites";Biryani;"North Indian, Chinese";"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore";300;Delivery
Recipe;Yes;No;4;804;"+91 8043755256
+91 9886073774";"Kumaraswamy Layout";"Casual Dining";"Butter Chicken, Noodles, Thali, Biryani";"North Indian, Chinese, Biryani, Rolls";"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore";450;Delivery
"Beijing Bites";Yes;No;3.7;679;"080 28606888
080 28606886";"Rajarajeshwari Nagar";"Casual Dining";"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice";"Chinese, Thai";"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore";850;Delivery
"Tasty Bytes";Yes;No;3.1;245;"+91 8553317408
+91 7899687127";"Kumaraswamy Layout";"Quick Bites";"Paratha, Pasta";"North Indian, Chinese, Momos, Rolls";"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore";300;Delivery
Petoo;No;No;3.7;21;"+91 8026893211";Banashankari;"Quick Bites";NULL;"North Indian";"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore";450;Delivery
"Shree Cool Point";Yes;No;4.1;28;"+91 9900617124";"Vijay Nagar";"Quick Bites";NULL;"Fast Food, Street Food, Beverages";"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore";150;Delivery
"Corner House Ice Cream";No;No;4.3;345;"080 26713965
+91 9845444155";Banashankari;"Dessert Parlor";"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse";"Ice Cream, Desserts";"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore";400;Delivery
"Biryanis And More";Yes;No;4;618;"080 48542442
+91 7337271771";Jayanagar;"Casual Dining";"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani";"Biryani, North Indian, Chinese, Andhra, South Indian";"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore";750;Delivery
"Roving Feast";No;No;4;1047;"080 42024092
080 42274242";Banashankari;"Quick Bites";"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti";"Italian, Continental, Fast Food, Chinese, Momos";"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore";450;Delivery
FreshMenu;Yes;No;3.9;627;"080 40424242";Banashankari;Delivery;"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza";"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger";"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore";450;Delivery
"Banashankari Donne Biriyani";Yes;No;3.8;104;"+91 9845632456";Banashankari;"Quick Bites";NULL;"Biryani, Fast Food";"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore";300;Delivery
Wamama;Yes;Yes;4.2;354;"+91 8042111599
+91 8971818009";Banashankari;"Casual Dining";"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll";"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos";"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore";800;Delivery
"Five Star Chicken";No;No;3.6;55;"080 41716035";Banashankari;"Quick Bites";NULL;"Fast Food, Burger";"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore";200;Delivery
"XO Belgian Waffle";Yes;No;3.7;17;"+91 9920950331";Banashankari;"Dessert Parlor";NULL;"Desserts, Beverages";"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore";400;Delivery
"Peppy Peppers";No;No;4.2;244;"+91 8042297555
+91 7022455300";Banashankari;"Casual Dining";"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup";"Italian, North Indian, Mexican";"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore";800;Delivery
"Goa 0 Km";Yes;Yes;3.6;163;"080 49653548";"Kumaraswamy Layout";"Casual Dining";"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken";"Goan, Seafood, North Indian, Chinese, Biryani";"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore";800;Delivery
"Chinese Kitchen";Yes;No;3.8;58;"+91 9845914270
+91 8884889088";Basavanagudi;"Quick Bites";NULL;Chinese;"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore";150;Delivery
1947;No;Yes;4;808;"080 26791213
+91 9739989446";Banashankari;"Casual Dining";"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup";"North Indian, Chinese";"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore";850;Delivery
"Cake of the Day";No;No;3.7;78;"080 22977725";Banashankari;"Bakery, Dessert Parlor";NULL;Bakery;"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore";150;Delivery
"Kabab Magic";Yes;No;4.1;1720;"080 26570381";Basavanagudi;"Quick Bites";"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls";"North Indian, Kebab, Chinese, Fast Food";"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore";400;Delivery
"Namma Brahmin's Idli";Yes;No;3.6;34;"+91 8310555879";Jayanagar;"Quick Bites";NULL;"South Indian";"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore";100;Delivery
"Gustoes Beer House";No;No;4.1;868;"080 49653521";Banashankari;Pub;"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings";"Continental, Italian, Mexican, North Indian, Chinese, Steak";"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore";1,200;Delivery
"Sugar Rush";No;No;3.8;39;"+91 9916366551";Banashankari;Bakery;NULL;"Bakery, Desserts";"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore";300;Delivery
"Burger King";Yes;No;3.2;71;"091 8147302939";Basavanagudi;"Quick Bites";NULL;"Burger, Fast Food, Beverages";"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore";600;Delivery
"The Good Bowl";Yes;No;3.6;6;"+91 8042172269";Banashankari;"Takeaway, Delivery";NULL;"Italian, North Indian, Biryani";"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore";500;Delivery
"The Biryani Cafe";No;No;4.1;520;"+91 7010846043";Banashankari;"Quick Bites";"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani";"Biryani, Chinese, Kebab";"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore";300;Delivery
"Spicy Tandoor";No;No;NULL;0;"+91 8050884222";Banashankari;"Quick Bites";NULL;"North Indian";"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore";150;Delivery
"LSD Cafe";No;No;2.9;84;"080 65600000";Banashankari;Delivery;NULL;"Chinese, Continental, Italian, North Indian";"100 Feet Road, 3rd Stage, Banashankari, Bangalore";700;Delivery
"Rolls On Wheels";No;No;3.6;299;"+91 9071734101
+91 9071496800";Banashankari;"Quick Bites";"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll";"Fast Food, Rolls, Momos";"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore";300;Delivery
"Om Sri Vinayaka Chats";No;No;NULL;0;"+91 8553206035";Banashankari;"Takeaway, Delivery";NULL;"Street Food, Fast Food";"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru";500;Delivery
"Sri Guru Kottureshwara Davangere Benne Dosa";Yes;No;4.1;558;"+91 9448305384
+91 9060079480";Basavanagudi;"Quick Bites";"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa";"South Indian";"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore";150;Delivery
"Devanna Dum Biriyani Centre";Yes;No;3.6;28;"+91 9980204944
080 26723722";Banashankari;"Quick Bites";NULL;"Biryani, South Indian";"16th Main Road, Near PESIT College, Banashankari, Bangalore";300;Delivery
Kolbeh;No;No;3.7;22;"+91 8050701820
+91 8904733516";Banashankari;"Quick Bites";NULL;"Fast Food";"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore";500;Delivery
"Upahar Sagar";No;No;3.8;39;"+91 9164571705
080 26760336";Banashankari;"Quick Bites";"Masala Dosa";"South Indian, Chinese, North Indian";"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore";350;Delivery
"Kadalu Sea Food Restaurant";Yes;No;3.8;153;"+91 7337681786
+91 7337682786";"Vijay Nagar";"Fine Dining";NULL;"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab";"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore";500;Delivery
"Frozen Bottle";Yes;No;4.2;146;"080 48664811";Banashankari;"Beverage Shop";"Berryblast, Waffles, Cheesecake, Salted Caramel";"Beverages, Desserts, Ice Cream";"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore";400;Delivery
"Parimala Sweets";No;No;3.5;14;"+91 9738013203
080 49524132";Banashankari;"Sweet Shop";NULL;"Mithai, Street Food";"1142, 22nd Cross, 30th Main, Banashankari, Bangalore";200;Delivery
"Vaishali Deluxe";No;No;3.8;42;"+91 9886092321
+91 8861776666";Banashankari;"Casual Dining";NULL;"North Indian, Chinese";"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore";700;Delivery
"Chill Out";No;No;NULL;0;"+91 9341215167";Banashankari;"Quick Bites";NULL;"South Indian, Chinese";"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore";100;Delivery
"The Big O Bakes";No;No;4;66;"+91 9845216137";Banashankari;Bakery;NULL;"Bakery, Desserts";"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore";300;Delivery
"Meghana Foods";Yes;No;4.4;4401;"080 49653564";Jayanagar;"Casual Dining";"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita";"Biryani, North Indian, Chinese";"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore";600;Delivery
"Krishna Sagar";No;No;3.5;31;"+91 8892752997
+91 7204780429";Banashankari;"Quick Bites";NULL;"North Indian";"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore";200;Delivery
"Dessert Rose";No;No;3.5;7;"+91 7829604777";Banashankari;"Dessert Parlor";NULL;Desserts;"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore";500;Delivery
"Chickpet Donne Biryani House";No;No;3.7;21;"+91 9482020323
080 68888834";Banashankari;"Quick Bites";NULL;Biryani;"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore";250;Delivery
"Me And My Cake";No;No;NULL;0;"+91 9036070410";Banashankari;Delivery;NULL;"Bakery, Desserts";"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore";500;Delivery
Sunsadm;No;No;NULL;0;"+91 7829290358";Banashankari;"Takeaway, Delivery";NULL;"South Indian";"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore";400;Delivery
"Annapooraneshwari Mess";No;No;NULL;0;"+91 9742009518";Banashankari;Mess;NULL;"South Indian";"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore";200;Delivery
"Thanco's Natural Ice Creams";No;No;3.2;9;"080 41477334
+91 9900260006";Banashankari;"Dessert Parlor";NULL;"Ice Cream";"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore";300;Delivery
"Nandhini Deluxe";No;No;2.6;283;"080 26890011
080 26890033";Banashankari;"Casual Dining";"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian";"North Indian";"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,";600;Delivery
"Vi Ra's Bar and Restaurant";No;No;3.3;62;"+91 9845063930
+91 7411148111";Banashankari;Bar;"Chilli Chicken";"South Indian, North Indian, Chinese";"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore";800;Delivery
Kaggis;No;No;3.8;64;"+91 9900191258
080 26509710";Banashankari;"Quick Bites";NULL;"Fast Food, Bakery";"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore";250;Delivery
"Ayda Persian Kitchen";No;No;3.7;39;"080 42124293";Banashankari;"Casual Dining";NULL;"North Indian, Iranian";"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore";950;Delivery
"Chatar Patar";No;No;3.7;65;"+91 7619353103";Banashankari;"Quick Bites";"Panipuri, Chaat, Noodles, Dahi Bhalle";"Fast Food, Street Food";"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore";300;Delivery
"Polar Bear";Yes;No;3.8;71;"080 49652725";Basavanagudi;"Dessert Parlor";"Hot Chocolate Fudge";"Ice Cream, Desserts, Beverages, Sandwich";"96, Opposite Jain Collage, Basavanagudi, Bangalore";400;Delivery
"Kidambi's Kitchen";No;No;3.5;52;"080 42112211
+91 9880412211";Banashankari;"Quick Bites";"Rooftop Ambience";"South Indian";"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore";300;Delivery
